NAME,ORIGIN,SUPPLIER,TYPE,GRAIN_TYPE,COLOR,EXTRACTION,POWER
5709 Black Malted Barley,USA,Briess,Grain,Roasted,500,69,
Aromatic Munich Malt 20L,USA,Briess,Grain,Kilned,20,77,20
Ashburne Mild Malt 100,USA,Briess,Grain,Kilned,5.3,79,65
Black Barley,USA,Briess,Grain,Roasted,500,69,
Black Malt,USA,Briess,Grain,Roasted,500,69,
Blackprinz Malt,USA,Briess,Grain,Roasted,500,69,
Blonde RoastOat Malt,USA,Briess,Grain,Special,4,75,
Bonlander Munich Malt 10L,USA,Briess,Grain,Kilned,10,78,40
Brewers Malt,USA,Briess,Grain,Base,1.8,81,140
Carabrown Malt,USA,Briess,Grain,Crystal,55,79,
Caracrystal Wheat Malt,USA,Briess,Grain,Crystal,55,78,
Caramel Malt 10L,USA,Briess,Grain,Crystal,10,77,
Caramel Malt 120L,USA,Briess,Grain,Crystal,120,75,
Caramel Malt 20L,USA,Briess,Grain,Crystal,20,76,
Caramel Malt 30L,USA,Briess,Grain,Crystal,30,77,
Caramel Malt 40L,USA,Briess,Grain,Crystal,40,77,
Caramel Malt 60L,USA,Briess,Grain,Crystal,60,77,
Caramel Malt 80L,USA,Briess,Grain,Crystal,80,76,
Caramel Malt 90L,USA,Briess,Grain,Crystal,90,75,
Caramel Munich Malt 60L,USA,Briess,Grain,Crystal,60,77,
Caramel Rye Malt,USA,Briess,Grain,Crystal,60,80,
Caramel Vienne Malt 20L,USA,Briess,Grain,Crystal,20,78,
Carapils Copper Malt,USA,Briess,Grain,Special,30,75,
Carapils Malt,USA,Briess,Grain,Special,1.5,75,
Chocolate Malt,USA,Briess,Grain,Roasted,350,69,
Dark Chocolate Malt,USA,Briess,Grain,Roasted,420,69,
Dark Munich Malt 30L,USA,Briess,Grain,Kilned,30,78,45
Extra Special Malt,USA,Briess,Grain,Special,130,73,
Full Pint Brewers Malt,USA,Briess,Grain,Base,1.7,81,150
Goldpils Vienna Malt,USA,Briess,Grain,Kilned,3.5,80,80
Midnight Wheat Malt,USA,Briess,Grain,Roasted,550,69,
Pale Ale Malt,USA,Briess,Grain,Kilned,3.5,80,85
Pilsen Malt,USA,Briess,Grain,Base,1.2,81,140
Roasted Barley,USA,Briess,Grain,Roasted,300,69,
Rye Malt,USA,Briess,Grain,Special,3.7,84,105
Smoked Malt Apple Wood,USA,Briess,Grain,Special,6,80.5,90
Smoked Malt Cherry Wood,USA,Briess,Grain,Special,5,80.5,
Smoked Malt Mesquite,USA,Briess,Grain,Special,5,80.5,90
Special Roast Malt,USA,Briess,Grain,Special,40,75,
Victory Malt,USA,Briess,Grain,Special,28,75,
Wheat Malt Red,USA,Briess,Grain,Special,3,82,110
Wheat Malt White,USA,Briess,Grain,Special,2.8,83,120
