NAME,ORIGIN,SUPPLIER,TYPE,GRAIN_TYPE,COLOR,EXTRACTION,POWER
Gateway,USA,Mecca Grade,Grain,Base,1.2,79,230
Lamonta,USA,Mecca Grade,Grain,Base,3,79,150
Metolius,USA,Mecca Grade,Grain,Kilned,11,76,76
Opal 22,USA,Mecca Grade,Grain,Crystal,20,77,80
Opal 44,USA,Mecca Grade,Grain,Crystal,40,77,44
Pelton,USA,Mecca Grade,Grain,Base,1.8,79,190
Rimrock,USA,Mecca Grade,Grain,Roasted,6,88,130
Shaniko,USA,Mecca Grade,Grain,Roasted,3.3,85,160
Vanora,USA,Mecca Grade,Grain,Kilned,7,79,110
Wickiup,USA,Mecca Grade,Grain,Roasted,3.6,78,160
