NAME,TYPE,COLOR,EXTRACTION,ATTENUATION
Agave syrup,Syrup,1,75,100
Amber Candi Syrup D-45,Syrup,45,70,100
Amber Honey,Syrup,4,85,85
Blonde Candi Syrup,Syrup,1,70,100
Corn Syrup,Syrup,1,80,100
Dark Candi Syrup D-90,Syrup,90,70,100
Dark Honey,Syrup,8,85,80
Extra Dark Candi Syrup D-180,Syrup,180,70,100
Golden Candi Syrup,Syrup,5,70,100
Golden Honey,Syrup,2,85,85
Golden Syrup,Syrup,1,75,100
Maple Syrup,Syrup,35,65,100
Molasses,Syrup,80,85,60
Rice Syrup,Syrup,0,85,80
Treacle,Syrup,80,80,60
White Honey,Syrup,1,85,85
XX Dark Candi Syrup D-240,Syrup,240,70,100
