NAME,ORIGIN,SUPPLIER,TYPE,GRAIN_TYPE,COLOR,EXTRACTION,POWER
Acidulated Malt,Germany,Weyermann,Grain,Special,3,79,120
CARAAMBER,Germany,Weyermann,Grain,Roasted,27,75,
CARAAROMA,Germany,Weyermann,Grain,Roasted,150,74,
CARABELGE,Germany,Weyermann,Grain,Crystal,12.6,74,
CARABOHEMIAN,Germany,Weyermann,Grain,Roasted,74,73,
CARAFA Type 1,Germany,Weyermann,Grain,Roasted,340,65,
CARAFA Type 2,Germany,Weyermann,Grain,Roasted,435,65,
CARAFA Type 3,Germany,Weyermann,Grain,Roasted,530,65,
CARAHELL,Germany,Weyermann,Grain,Crystal,10,74,
CARAMUNICH Type 1,Germany,Weyermann,Grain,Crystal,90,73,
CARAMUNICH Type 2,Germany,Weyermann,Grain,Crystal,120,73,
CARAMUNICH Type 3,Germany,Weyermann,Grain,Crystal,150,73,
CARAPILS,Germany,Weyermann,Grain,Crystal,2.2,75,
CARARED,Germany,Weyermann,Grain,Crystal,19.3,74,
CARARYE,Germany,Weyermann,Grain,Crystal,66,74,
CARAWHEAT,Germany,Weyermann,Grain,Crystal,48,68,
Chocolate Wheat Malt,Germany,Weyermann,Grain,Roasted,395,65,
Dark Wheat Malt,Germany,Weyermann,Grain,Special,7,81,60
Extra Pale Pilsner Malt,Germany,Weyermann,Grain,Base,1.5,80.5,120
Melanoidin Malt,Germany,Weyermann,Grain,Special,27,75,
Munich Malt Type 1,Germany,Weyermann,Grain,Kilned,6.1,78,60
Munich Malt Type 2,Germany,Weyermann,Grain,Kilned,9.0,78,60
Pale Ale Malt,Germany,Weyermann,Grain,Base,2.9,79,120
Pale Rye Malt,Germany,Weyermann,Grain,Special,3.1,82,60
Pale Wheat Malt,Germany,Weyermann,Grain,Special,1.9,82,60
Pilsner Malt,Germany,Weyermann,Grain,Base,1.7,80.5,120
Roasted Barley,Germany,Weyermann,Grain,Roasted,435,65,
Special W,Germany,Weyermann,Grain,Roasted,113,73,
Spelt Malt,Germany,Weyermann,Grain,Special,2.4,80,60
Vienna Malt,Germany,Weyermann,Grain,Kilned,3.2,79,60
