NAME,ORIGIN,ALPHA,BETA,TOTAL_OIL,COHUMULONE,MYRCENE,LINALOOL,CARYOPHYLLENE,FARNESENE,HUMULENE,GERANIOL,ALIASES
African Queen,South Africa,14,4.8,1.3,26,28,,13,4.9,21,,
Ariana,Germany,11,5.2,2.2,41,,,,,,,
Barbe Rouge,France,5,3.4,1.3,42,44,,,,,,
Calista,Germany,3,7,1.7,18,,,,,,,
Groene Bel,Belgium,4,3.2,1,27,39,,,,,,
Hallertau Hersbrucker,Germany,3,4.2,0.7,21,22,,,,,,
Hallertau Perle,Germany,7,3.5,1,32,27,,,,,,
Hallertau Tradition,Germany,5,4.5,0.7,27,25,,,,,,
Iunga,Poland,11,6.5,2.3,31,30,,,,,,
Lemondrop,USA,6,5,1.7,31,,,,,,,
Lubelski,Poland,4,3,1,27,,,,11,,,
Marynka,Poland,11,11.5,1.9,29,,,,,,,
Southern Aroma,South Africa,4,5,0.7,19,23,,,,,,
Southern Dawn,South Africa,12,5.1,0.6,32,22,,,,,,
Southern Passion,South Africa,7,7.5,0.9,18,27,,,,,,
Southern Star,South Africa,14,5,1.6,31,39,,,,,,
