NAME,ORIGIN,ALPHA,BETA,TOTAL_OIL,COHUMULONE,MYRCENE,LINALOOL,CARYOPHYLLENE,FARNESENE,HUMULENE,GERANIOL,ALIASES
Agnus,Czech Republic,13,,,34,,,,,,,
Amethyst,Czech Republic,5,,,23,,,,,,,
Archer,United Kingdom,5,,,35,,,,,,,
Atlas,Slovenia,7,,,37,,,,,,,
Beata,United Kingdom,6,,,25,,,,,,,
Belma,USA,13,,,,,,,,,
Boadicea,United Kingdom,7,,,24,,,,,,,
Bobek,Slovenia,3,,,29,,,,,,,
Bullion,United Kingdom,9,,,37,,,,,,,
Cascade,United Kingdom,7,,,38,,,,,,,
Challenger,Belgium,7,,,22,,,,,,,
Delta,USA,5,,,23,,,,,,,
Ernest,United Kingdom,6,,,52,,,,,,,
Eureka,Slovenia,14,,,23,,,,,,,
Eureka!,USA,18,,,29,,,,,,,
Flyer,United Kingdom,10,,,30,,,,,,,
Fuggles,Belgium,5,,,29,,,,,,,
Fusion,United Kingdom,8,,25,,,,,,,
Godiva,United Kingdom,9,,,34,,,,,,,
Goldings,Belgium,6,,,27,,,,,,,
Goldings,United Kingdom,6,,,27,,,,,,,
Harlequin,United Kingdom,9,,,34,,,,,,,
Harmonie,Czech Republic,6,,,20,,,,,,,
Jester,United Kingdom,8,,,25,,,,,,,
Junga,Poland,11,,,31,,,,,,,
Krpan,Slovenia,13,,,32,,,,,,,
Magnum,Slovenia,13,,,25,,,,,,,
Millenium,USA,14,,,30,,,,,,,
Minstrel,United Kingdom,6,,,24,,,,,,,
Mistral,France,7,,,34,,,,,,,
Moutere,New Zealand,18,,,26,,,,,,,
Mystic,United Kingdom,9,,,34,,,,,,,
Olicana,United Kingdom,8,,,30,,,,,,,
Pulawski,Poland,14,,,28,,,,,,,Puławski
Record,Belgium,9,,,27,,,,,,,
Styrian Cardinal,Slovenia,9,,,34,,,,,,,
Styrian Dragon,Slovenia,8,,,23,,,,,,,
Styrian Eagle,Slovenia,15,,,21,,,,,,,
Styrian Fox,Slovenia,9,,,28,,,,,,,
Styrian Gold,Slovenia,15,,,21,,,,,,,
Styrian Kolibri,Slovenia,5,,,23,,,,,,,
Styrian Wolf,Slovenia,15,,,22,,,,,,,
Tolar,Slovenia,7,,,33,,,,,,,
