NAME,ORIGIN,ALPHA,BETA,TOTAL_OIL,COHUMULONE,MYRCENE,LINALOOL,CARYOPHYLLENE,FARNESENE,HUMULENE,GERANIOL,ALIASES
Admiral,United Kingdom,14,5,1.4,41,44,,7,1,24,,
Ahtanum,USA,5,5,1.1,32,50,0.5,10,0.5,18,0.5,
Amarillo,USA,9,7,1.6,22,45,0.6,8,7,22,0.2,
Aramis,France,8,4,1.4,21,40,,7.4,3,21,,
Aurora,Slovenia,10,3,1.2,23,23,,8,7,22,,
Azacca,USA,15,5,1.9,42,50,,10,0.5,16,,
Bitter Gold,USA,13,5,1.5,,50,0.6,9,0.5,14,0.2,
Boadicea,USA,9,3,1.8,26,35,,17,3,20,,
Bobek,Slovenia,6,5,2.3,29,38,,5,6,16,,
Bouclier,France,8,,,,,,,,,,
Bramling Cross,United Kingdom,6,2.7,0.8,34,36,,15,1,30,,
Bravo,USA,16,4.5,2.7,32,58,0.5,7,0.5,10,0.8,
Brewer’s Gold,USA,9,5.3,2.4,44,52,,,,,,
Brewer’s Gold,Germany,5.5,3,1.3,44,45,,,,,,
Brooklyn,New Zealand,18,,,,,,,,,,
Bullion,USA,9,,,,,,,,,,
Cascade,USA,7,7,1.6,32,52,0.5,7,7.5,17,0.3,
Cashmere,USA,8,,,,,,,,,,
Celeia,Slovenia,4,,,,,,,,,,
Centennial,USA,9,4,2,25,60,0.7,6,0.5,15,1.5,
Challenger,United Kingdom,7.5,4.2,1.4,22,36,,,,,,
Chelan,USA,13,,,,,,,,,,
Chinook,USA,13,3.5,1.7,29,25,0.4,10,0.5,21,0.9,
Citra,USA,13,3.7,2.2,22,65,0.8,6,0.5,9,0.4,
Cluster,USA,7.5,5,0.7,38,42,,,,,,
Columbia,USA,5.5,3.5,1.5,,50,,,,,,
Columbus,USA,15,5.2,3.5,30,50,0.5,8,0.5,11,0.3,Tomahawk;Zeus;CTZ
Comet,USA,9,4.5,1.6,35,47,,,,,,
Crystal,USA,4.5,6.5,1.5,25,40,,,,,,
Dana,Slovenia,9,3.5,1.3,24,44,,,,,,
Dr. Rudi,New Zealand,11,7.7,1.3,35,29,,,,,,
East Kent Golding,United Kingdom,5.5,2.4,0.6,30,30,,,,,,
Ekuanot,USA,14,4.5,3,33,37,0.3,10,0.5,16,0.4,
El Dorado,USA,15,7.5,2.9,30,58,0.8,7,0.1,13,0.5,
Ella,Australia,15,6.3,2.9,36,45,,15,0.5,19,,
Endeavour,United Kingdom,9,4.5,1.5,33,32,,,,,,
Enigma,Australia,15,5.6,2.7,39,,,,,,,
Epic,United Kingdom,4,2.1,0.6,32,12,,,,,,
Eroica,USA,11,4.1,0.9,40,60,,,,,,
Falconer's Flight,USA,11,4.5,1.7,22,50,0.7,7,1.5,14,0.6,
Falconer’s Flight 7Cs,USA,10,5,1.6,48,47,0.6,8,0.5,15,0.6,
First Gold,United Kingdom,7,3,1,33,25,,,,,,
Fuggle,USA,4,2.7,0.7,29,20,,,,,,
Fuggle,United Kingdom,4,2.5,1.1,27,26,,,,,,
Galaxy,Australia,13,6,4,37,50,,8,4,1.5,,
Galena,USA,14,8,1.7,36,45,0.2,7,0.5,14,0.7,
Glacier,USA,6,8.5,1,15,40,,,,,,
Golding,USA,4,2.7,0.7,26,30,,,,,,
Green Bullet,New Zealand,12,6.7,1.1,38,38,,,,,,
Hallertau,USA,5,4.5,0.7,24,22,,,,,,
Hallertau Blanc,Germany,10,5,1.3,24,62,0.4,1,0.5,1.5,,
Helga,Australia,6,6,0.8,22,6,,,,,,
Herald,United Kingdom,11,5,1.5,36,40,,,,,,
Herkules,Germany,15,4.7,2,34,40,,,,,,
Horizon,USA,10,6.5,1,18,50,,,,,,
Huell Melon,Germany,7,7.5,0.8,27.36,,,,,,,Hüll Melon
Idaho 7,USA,12,4.2,1.5,35,50,,,,,,
Independence,USA,5,1.5,0.4,21,37,,,,,,
Jarrylo,USA,16,6.7,4,36,47,,,,,,
Kazbek,Czech Republic,6.5,5,1.5,37,47,,,,,,
Kohatu,New Zealand,6,4.5,1,21,36,,,,,,
Liberty,USA,5,3.5,1.4,23,20,,,,,,
Loral,USA,15,5.2,2.6,22,55,1,5.3,0.5,18,0.2,
Magnum,USA,13,6.7,2,25,35,0.5,9,0.5,28,0.5,
Magnum,Germany,13,6,2.2,25,37,,,,,,
Mandarina Bavaria,Germany,8,5.7,2.2,33,71,0.3,3,0.5,10,,
Merkur,Germany,13,5,2.5,19,47,,,,,,
Millennium,USA,17,5.7,2.2,32,45,,,,,,
Hallertau Mittelfrüh,Germany,4,4,1,23,15,,,,,,
Mosaic,USA,12,3.7,1.9,23,51,0.6,5,0.5,12,0.7,
Motueka,New Zealand,7,5.2,0.8,29,47,,,,,,
Mount Hood,USA,5,6.5,1.4,22,30,,,,,,
Mount Rainier,USA,6,8,2,22,55,,,,,,
Nelson Sauvin,New Zealand,12,7,1.1,24,22,,,,,,
Newport,USA,11,6,2,37,50,,,,,,
Northdown,United Kingdom,8,5.2,2,27,26,,,,,,
Northern Brewer,USA,8,4.5,1.5,32,40,,,,,,
Northern Brewer,Germany,8,4,1.3,30,35,,,,,,
Nugget,USA,14,4.9,2,24,45,,,,,,
Olympic,USA,12,5.2,1.5,,50,,,,,,
Opal,Germany,7,4.5,1,15,32,,,,,,
Orion,Germany,7,3.5,1,28,48,,,,,,
