NAME,SUPPLIER,TYPE,ATTENUATION_RANGE,TEMPERATURE_RANGE
A01 House,Imperial,Ale,73-75,17-21
A04 Barbarian,Imperial,Ale,73-74,17-21
A05 Voyager,Imperial,Ale,68-72,18-23
A07 Flagship,Imperial,Ale,73-77,16-22
A09 Pub,Imperial,Ale,69-74,18-21
A10 Darkness,Imperial,Ale,71-75,17-22
A15 Independence,Imperial,Ale,72-76,16-22
A18 Joystick,Imperial,Ale,73-77,16-21
A20 Citrus,Imperial,Ale,74-78,19-27
A24 Dry Hop,Imperial,Ale,74-78,18-23
A31 Tartan,Imperial,Ale,70-75,18-21
A34 Riverside,Imperial,Ale,72-78,18-20
A38 Juice,Imperial,Ale,72-76,18-23
A43 Loki,Imperial,Kveik,75-78,18-38
A44 Kveiking,Imperial,Kveik,75-85,24-36
A46 Bartleby,Imperial,Kveik,75-85,20-37
B44 Whiteout,Imperial,Belgian,72-76,17-22
B45 Gnome,Imperial,Belgian,74-78,18-25
B48 Triple Double,Imperial,Belgian,74-78,18-25
B51 Workhorse,Imperial,Belgian,72-77,18-24
B53 Precious,Imperial,Belgian,74-78,18-23
B56 Rustic,Imperial,Belgian,72-76,20-27
B63 Monastic,Imperial,Belgian,74-78,20-26
B64 Napoleon,Imperial,Belgian,77-83,18-26
B66 Filibuster,Imperial,Belgian,75-80,20-32
B75 Priory,Imperial,Belgian,76-78,18-23
F08 Sour Batch Kidz,Imperial,Special,80-95,20-24
G01 Stefon,Imperial,German Ale,73-77,17-23
G02 Kaiser,Imperial,German Ale,73-77,13-18
G03 Dieter,Imperial,German Ale,73-77,16-21
G17 Gustav,Imperial,German Ale,75-79,14-20
L05 Cablecar,Imperial,Lager,71-75,13-18
L09 Que Bueno,Imperial,Lager,73-77,8-13
L11 Gateway,Imperial,Lager,72-76,8-13
L13 Global,Imperial,Lager,73-77,8-13
L17 Harvest,Imperial,Lager,70-74,10-16
L26 Pilgrimage,Imperial,Lager,72-77,7-13
L28 Urkel,Imperial,Lager,71-75,11-14
W02 Bovine,Imperial,Special,25-90,20-32
W05 Dr. Drie,Imperial,Special,56-85,21-29
W10 Lambicus,Imperial,Special,55-85,21-29
W12 Brett Claussenii,Imperial,Special,55-75,21-29
W13 Brux,Imperial,Special,55-85,17-20
W15 Suburban Brett,Imperial,Special,75-80,18-23
W16 Custerianus,Imperial,Special,55-70,21-29
W25 Lacto. Brevis,Imperial,Special,76-83,29-38
